Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday
Fajar Shopping Centre,"445 Fajar Road, S(670445)",\$0.60/30min from 7am to 6pm,"\$0.60/30min up to a maximum charge of \$1.50 from 6pm to 10.30pm, \$0.60/30min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day","\$0.60/30min up to a maximum charge of \$1.50 from 7am to 10.30pm, \$0.60/30min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day","\$0.60/30min up to a maximum charge of \$1.50 from 7am to 10.30pm, \$0.60/30min up to a maximum charge of \$5.00 from 10.30pm to 7am the following day"
The Capricorn,"1 Science Park Road, S(117528)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm",Free parking from 7.30pm to 7.30am the following day,Free parking,Free parking
Biopolis,"20 Biopolis Way, S(138668)",\$1.00/hr from 7am to 7pm,\$1.00/entry from 7.00pm to 7.00am the following day,Same charges as weekday,Same charges as weekday
JTC Blk 8 / 12 Lorong Bakar Batu,"8 Lorong Bakar Batu, S(348743)",\$0.50/30min from 7am to 11pm,\$0.50/30min from 7am to 11pm,Charges same as weekdays,Closed
JTC Tuas Amenity Centre,"71 Pioneer Road, S(639591)",\$0.50/30min from 7am to 10.30pm,\$0.50/30min from 7am to 10.30pm,Charges same as weekdays,Closed
HDB Blk 8A (Empress Rd),"Blk 8A, Empress Road, S(261008)",HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of \$2.00 from 10.30pm to 12.59am the following day, \$2.00/entry from 1am to 6.59am",Charges same as weekdays,Charges same as weekdays
HDB Blk 303 (Choa Chu Kang Ave 4),"Blk 303, Choa Chu Kang Ave 4, S(680303)",HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of \$2.00 from 10.30pm to 12.59am the following day, \$2.00/entry from 1am to 6.59am",Charges same as weekdays,Charges same as weekdays
HDB Blk 4A / 6A (Woodlands Centre Road),"Blk 4A, Woodlands Centre Road, S(731004)",HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of \$2.00 from 10.30pm to 12.59am, \$2.00/entry from 1am to 6.59am",Charges same as weekdays,Charges same as weekdays
HDB Blk 131 / 134 / 132 (Jurong East St 13),"Blk 131, Jurong East Street 13, S(600131)",HDB / URA parking rates from 7am to 10.29pm,"HDB / URA parking rates, up to a maximum charge of \$5.00 from 10.30pm to 6.59am the following day",Charges same as weekdays,Charges same as weekdays
Balestier Towers,"207 Balestier Road, S(329683)",\$1.50/hr from 8am to 4.59pm,\$2.75/entry from 5pm to 7.59am the following day,Charges same as weekdays,Carpark closed on Sundays
Bedok Shopping Complex,"348 Bedok Road, S(469535)",\$1.20/hr from 7am to 2pm,\$1.50/hr from 2pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Singapore-Johore Factory,"51 Kampong Bugis, S(338986)",\$1.30/hr from 8am to 4.59pm,\$1.60/entry from 5pm to 7.59am the following day,Charges same as weekdays,Closed
Millage,"55 Changi Road, S(419709)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min or part thereof","\$1.20 for 1st hr, \$0.60 for next subsequent 30min or part thereof",Charges same as weekdays,Charges same as weekdays
Da Jin Factory Building,"362 Upper Paya Lebar Road, S(534963)",\$1.33/hr from 8am to 4.59pm,"\$1.63/entry from 5pm to 10pm, Car Park closed after 10pm",Charges same as weekdays,Closed
Civil Service Club (Changi Clubhouse),"2 Netheravon Road, S(508503)","(For Member): \$1.00/hr from 6am to 6pm, (For Public): \$2.40 for 1st hr, \$0.60 for next subsequent 15min from 6am to 6am the following day","(For Member): \$1.80/entry from 6pm to 3am the following day, \$1.50/hr from 3am to 6am (For Public): \$2.40 for 1st hr, \$0.60 for next subsequent 15min from 6am to 6am the following",Charges same as weekdays,Charges same as weekdays
Ayer Rajah Industrial Estate,Ayer Rajah Crescent,\$1.00/30min from 7am to 6pm,\$1.00/entry from 6pm to 7am the following day,\$1.00/entry from 7am to 7am the following day,\$1.00/entry from 7am to 7am the following day
North Bridge Centre,"420 North Bridge Road, S(188727)",\$1.50/30min from 8am to 4.59pm,\$4.00/entry from 5pm to 11pm,Charges same as weekdays,\$4.00/entry from 8am to 11pm
National Service Resort Country Club (NSRCC),"10 Changi Coast Walk, S(499739)","(For Member): Free, (For Public): \$2.15/entry from 6am to 5pm","(For Member): Free, (For Public): \$2.15/entry from 5pm to 12midnight",\$0.80/30min with max of \$12.80 from 6am to 12midnight,\$0.80/30min with max of \$12.80 from 6am to 12midnight
Techpoint,"10 Ang Mo Kio Street 65, S(569059)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 5pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
APS Industrial Building,"49 Jalan Pemimpin, S(577203)",\$1.65/hr from 8am to 4.59pm,\$1.80/entry from 5pm to 7.59am,Charges same as weekdays,Charges same as weekdays
Rutherford Building,"89 Science Park Drive, S(118261)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 8am to 5pm","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 5pm to 8am the following day",Closed,Closed
The Alpha (Science Park II),"10 Science Park Road, S(117684)","\$1.60 for 1st hr, \$1.20 for next subsequent hr from 7.30am to 7.30pm","\$1.60 for 1st hr, \$1.20 for next subsequent hr from 7.30am to 7.30pm","\$1.60 for 1st hr, \$1.20 for next subsequent hr from 7.30am to 7.30pm",Closed
Teletech Park (Basement Car Park),"20 Science Park Road, S(117674)",\$1.20/hr from 8am to 8pm,\$1.20/hr from 8am to 8pm,Closed,Closed
The Aquarius,"21 Science Park Road, S(117628)","\$0.56 for 1st hr, \$1.07 for next subsequent hr from 7.30am to 7.30pm","\$0.56 for 1st hr, \$1.07 for next subsequent hr from 7.30am to 7.30pm",Closed,Closed
Comcentre / SingTel Building,"31 Exeter Road, S(239732)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
Sea Sports Centre,"11 Changi Coast Walk, S(499740)",Free Parking,Free Parking,Free Parking,Free Parking
The Gemini,"41 Science Park Road, S(117610)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm",Closed,Closed
Techview,"1 Kaki Bukit View, S(415941)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 10pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 10pm",Charges same as weekdays,Charges same as weekdays
The Aries,"51 Science Park Road, S(117586)","\$1.60 for 1st hr, \$1.07 for next subsequent 30min from 7.30am to 7.30pm",Free parking from 7.30pm to 7.30am the following day,Closed,Closed
JTC Blk 970 / 998 Toa Payoh North,"970 Toa Payoh North, S(318992)",\$0.60/30min from 7am to 10pm,\$2.00/entry from 10pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 6.59am the following day
AMK Autopoint,"10 Ang Mo Kio Industrial Park 2A, S(568047)","\$2.00/entry from 12midnight to 7am, \$0.50 for next subsequent 30min from 7am to 10.30pm",\$2.00/entry from 10.30pm to 12midnight,Charges same as weekdays,"\$2.00/entry from 12midnight to 7am, free parking from 7am to 10.30pm, \$2.00/entry from 10.30pm to 12midnight"
Katong Village,"86 East Coast Road, S(428788)",\$1.00/hr from 8am to 5pm,\$1.00/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Tagore Industrial Building,"6 Tagore Drive, S(787623)",\$0.51/30min from 8am to 4.59pm,\$2.04/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
Technolink Centre,"430 Chai Chee Road, S(469000)",\$1.00/30min from 8am to 5pm,\$1.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/entry
Westinton Building,"6 Ang Mo Kio Industrial Park 2, S(568012)","\$2.10 for 1st hr, \$1.05 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$3.00/entry from 8am to 8am the following day
Luxton Building,10 Sims Drive,"\$2.10 for 1st hr, \$1.05 for next subsequent 30min",\$2.00/entry,\$2.00/entry,\$2.00/entry
Advantech Industrial Building,17 Sims Drive,\$1.50/hr,\$1.80/entry,Charges same as weekdays,Closed
Edinburg Tower,"18 Edinburg Road, S(909188)","\$2.10 for 1st hr, \$1.05 for next subsequent 30min",\$3.00/entry,Charges same as weekdays,\$3.00/entry
Lam Seng Building,Playfair Road,\$1.20/30min,\$2.00/entry,Charges same as weekdays,Closed
Tong Lee Building,"35 Kallang Pudding Road, S(349314)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min",\$2.00/entry,Charges same as weekdays,Closed
Tagore 23 Warehouse,"23 Tagore Lane, S(787601)","\$1.25 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm",\$2.45/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.45/entry from 6.01pm to 7am the following day
JTC Blk 3014A / 3015A Ubi Road 1,"3014A Ubi Road 1, S(408703)",\$0.60/30min from 7am to 10pm,\$2.00/entry from 10.01pm to 6.59am the following day,Charges same as weekdays,\$2.00/entry from 7am to 6.59am the following day
Central Square,"20 Havelock Road, S(059765)",\$2.50/hr from 7am to 4.49pm,\$3.575/entry from 5pm to 6.59am the following day,Charges same as weekdays,\$3.75/entry from 7am to 6.59am the following day
West Coast Recreation Centre,"12 West Coast Walk, S(127157)",\$0.50/30min from 6.30am to 6pm,"\$2.00/entry from 6pm to 3am the following day, \$5.00/entry from 3am to 6.30am",Charges same as weekdays,Charges same as weekdays
The Cathay,"2 Handy Road, S(229233)","\$1.40/30min from 8am to 9.59pm, \$1.40/hr from 10am to 9.59pm",\$3.00/entry from 10pm to 7.59am the following day,"\$1.40/hr from 8am to 9.59pm, \$3.00/entry from 10.00pm from 7.59am, eve of public holiday","\$1.40/hr from 8am to 9.59pm, \$3.00/entry from 10.00pm from 7.59am, eve of public holiday"
Safra Yishun Country Club,"60 Yishun Avenue 4, S(769027)","(For Member): \$0.95/hr, (For Public): \$2.05/hr, from 6am to 5.59pm","(For Member): \$1.90/entry, (For Public): \$4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): \$1.90/entry, (For Public): \$4.00/entry from 6am to 5.59am the following day"
One Fullerton,"1 Fullerton Road, S(049213)",\$2.80/30min from 7.01am to 6pm,"\$5.00/entry from 6.01pm to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7.00am","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am","\$5.00/entry from 7.01am to 12midnight the following day, Additional \$2.00/entry from 12.01am to 7am"
Parkroyal@Kitchener Road  (Driveway),"181 Kitchener Road, S(208533)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 8am to 4.30pm",\$4.00/entry valet parking from 4.30pm to 8am the following day,Charges same as weekdays,Free Parking
Parkroyal@Kitchener Road (4th Floor),"181 Kitchener Road, S(208533)","\$3.00 for 1st hr, \$0.75 for next subsequent 15min from 7am to 5pm",\$4.90/entry from 5pm to 7am the following day,Charges same as weekdays,\$4.90/entry from 7am to 7am the following day
Changi Budget Terminal,"30 Airport Boulevard, S(819662)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Junction 10,"1 Woodlands Road, S(677899)","\$1.07 for 1st hr, \$0.32 for next subsequent 15min from 8am to 5pm","\$1.07 for 1st hr, \$0.32 for next subsequent 15min from 5pm to 8am the following day","\$2.14 for 1st 2hr, \$0.32 for next subsequent 15min from 8am to 8am the following day","\$2.14 for 1st 2hr, \$0.32 for next subsequent 15min from 8am to 8am the following day"
UE Square,"81 Clemenceau Avenue, S(239917)","\$2.00 for 1st hr, \$1.00 for next subsequent 1hr from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,"\$2.00 for 1st hr, \$1.00 for next subsequent 1hr from 8am to 1pm, \$3.00/entry from 1pm to 7.59am the following day",\$3/entry from 8am to 8am the following day
Beauty World Plaza,"140 Upper Bukit Timah Road, S(588176)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 5pm",\$2.40/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day
Odeon Towers,"331 North Bridge Road, S(188720)","\$2.20 for 1st hr, \$1.10 for subsequent 30min from 7am to 5pm",\$2.20/entry from 5pm to 7am the following day,"\$2.20 for 1st hr, \$0.90 for subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day","\$2.20 for 1st hr, \$0.90 for next subsequent 30min from 7am to 5pm, \$2.20/entry from 5pm to 7am the following day"
NTU Car Park A (North Academic Complex),"50 Nanyang Avenue, S(639798)",\$0.02/min from 8am to 6pm,"\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking
NTU Car Park B (South Academic Complex),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking
City Plaza,"810 Geylang Road, S(409286)","\$1.20 for 1st hr, \$0.70 for next subsequent 30min from 8am to 5pm",\$1.50/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/entry from 8am to 8am the following day
Winsland House 1,"3 Killiney Road, S(239519)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm","\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day",Charges same as weekdays,\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day
Winsland House 2,"163 Penang Road, S(238463)","\$2.50 for 1st hr, \$1.20 for next subsequent 30min from 7am to 7pm","\$3.50/entry from 7pm to 11pm, \$3.50/entry from 11pm to 7am the following day",Charges same as weekdays,\$4.50/entry from 7.00am to 11pm \$3.50/entry from 11pm to 7am the following day
Bedok Central Blk 207 (Cooked Food Centre),"207 New Upper Changi Road, S(460207)",\$0.50/30min from 7.00am to 10.30pm,\$2.00/entry from 10.30pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays
Inland Revenue Authority of Singapore (IRAS),"55 Newton Road, S(307987)",\$0.45/15min from 6am to 6pm,\$2.20/entry from 6pm to 6am the following day,"\$0.45/15min from 6am to 1.30pm, \$1.60/entry from 1.30pm to 12midnight",\$1.60/entry from 6am to 12midnight the following day
Bukit Batok Driving Centre (BBDC),"815 Bukit Batok West Avenue 5, S(659085)",\$2.00/hr,\$2.00/hr,Charges same as weekdays,Charges same as weekdays
Creative Technologies,"31 International Business Park, S(609921)","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 8am to 7pm","\$2.14 for 1st hr, \$1.60 for next subsequent 30min from 7pm to 8am the following day",Free parking,Free parking
Certis CISCO Centre,"20 Jalan Afifi, S(409179)",\$1.60/30min from 7am to 6pm,\$1.20/30min from 6pm to 7am the following day,\$1.00/30min from 7am to 7am the following day,\$1.00/30min from 7am to 7am the following day
Singapore Science Centre,"15 Science Centre Road, S(609081)",\$0.60/30min from 7am to 6pm,\$0.60/30min from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Rivervale Mall,"11 Rivervale Crescent, S(545082)","\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm","\$1.28 for 1st hr, \$0.64 for next subsequent 30min from 12midnight to 11.59pm",Charges same as weekdays,Charges same as weekdays
Fook Hai Building,"150 South Bridge Road, S(058727)",\$1.20/30min from 7.30am to 5pm,\$2.50/entry from 5pm to 7.30am,Charges same as weekdays,\$2.50/entry from 7.30am to 7.30am the following day
Marina South Pier (MSP),"31 Marina Coastal Drive, S(018988)","\$2.00/hr for 1st 2hr, \$3.00 for next subsequent hr from 7am to 10.30pm",\$3.00/entry from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
China Square Central,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,\$3.00/entry from 6am to 8am the following day,\$3.00/entry from 8am to 5.59am the following day
Marsh and McLennan Centre,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day"
China Court,"20 Cross Street, S(048422)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day"
South Bridge Court,"18 Cross Street, S(048423)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day"
Nankin Row,"3 Pickering Street, S(048660)",\$1.80/30min from 8am to 5.59pm,\$3.00/entry from 6pm to 7.59am the following day,"\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day","\$3.00/entry from 8am to 5.59pm, \$3.00/entry from 6pm to 7.59am the following day"
Great Eastern Centre,"1 Pickering Street, S(048659)",\$1.80/30min from 8am to 6pm,\$3.30/entry from 6pm to 7.59am the following day,\$3.30/entry from 6am to 8am the following day,\$3.30/entry from 8am to 5.59am the following day
Riverside Point,"30 Merchant Road, S(058282)","\$2.30 for 1st hr, \$1.00 for next subsequent 30min from 6am to 5pm",\$3.50/entry from 5pm to 6am the following day,Charges same as weekdays,\$3.50/entry from 6am to 6am the following day
Shaw Leisure Gallery,"100 Beach Road, S(189702)","\$1.07 for 1st hr, \$1.07 for next subsequent 30min from 12midnight to 5pm",\$2.14/entry from 5pm to 12midnight,\$2.14/entry from 12midnight to 12midnight the following day,\$2.14/entry from 12midnight to 12midnight the following day
Atrium @ Orchard,"60 Orchard Road, S(238889)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm from Mon to Thur, \$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm on Fri an","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm"
Safra Mount Faber,"2 Telok Blangah Way, S(098803)","(For Member): \$1.25/hr, \$0.32 for next subsequent 15min (For Public): \$2.30/hr, \$0.58 for next subsequent 15min from 6am to 5.59pm","(For Member): \$2.05/entry, (For Public): \$3.40/entry from 6pm to 6am the following day","(For Member): \$2.05/entry, (For Public): \$3.40/entry from 6am to 5.59am the following day","(For Member): \$2.05/entry, (For Public): \$3.40/entry from 6am to 5.59am the following day"
Singapore Botanic Gardens ,"1 Cluny Road, S(259569)","Free parking from 5am to 7am, \$0.02/min from 7am to 10.30pm.",\$0.02/min up to a maximum cap of \$2.00 for entry between 7pm to 10.30pm. Free parking from 10.30pm to 12midnight,Charges same as weekdays,Charges same as weekdays
Ministry of Education Building (MOE),"1 North Buona Vista Drive, S(138675)","\$1.50/hr, \$2.50 for next subsequent hr from 8am to 5pm","\$1.50/hr, \$2.50 for next subsequent hr from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
Changi Ferry Terminal,"30 Changi Ferry Road, S(499675)",Free Parking,Free Parking,Free Parking,Free Parking
Rochor Centre,"1 Rochor Road, S(180001)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Young Men's Christian Association Of Singapore (YMCA),"1 Orchard Road, S(238824)",\$2.00/hr from 7am to 6pm,\$4.00/entry from 6pm to 12midnight the following day,Charges same as weekdays,\$4.00/entry from 7am to 7am the following day
PWC Building,"8 Cross Street, S(048424)",\$2.60/30min from 6am to 6pm,\$3.20/entry from 6pm to 6am the following day,"\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm","\$3.20/entry from 6am to 8pm, Carpark Closed after 8pm"
Mandarin Orchard Singapore,"333 Orchard Road, S(238867)","\$3.50 for 1st hr, \$0.05 for next subsequent min from 6am to 6pm","\$3.50 for 1st hr, \$0.05 for next subsequnet min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays
Civil Service College,"31 North Buona Vista Road, S(275983)","\$1.50/hr for the 1st 5hr, \$9.00/entry for parking more than 5 hr",\$1.00/hr from 6pm to 10.30pm,"\$1.50/hr from 8am to 1pm, \$1.00/hr from 1pm to 10.30pm",Closed
Singapore Zoo / Singapore Night Safari,"80 Mandai Lake Road, S(729826)","\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm","\$3.00 for 1st hr, \$2.00 for next subsequent hr from 8.30am to 6pm",Charges same as weekdays,Charges same as weekdays
Noel Corporate Building,"50 Kallang Avenue, S(339505)","\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 8am to 5pm","\$2.14 for 1st hr, \$1.20 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays
Hougang Green Shopping Mall,"21 Hougang Street 51, S(538719)","\$1.07 for 1st hr, \$0.55 for next subsequent 30min from 7am to 4.59pm",\$1.20/entry from 5pm to 6.59am the following day,Charges same as weekdays,"\$2.15/entry from 7am to 12midnight, \$1.20/entry from 12midnight to 6.59am the following day"
Camden Medical Centre,"1 Orchard Boulevard, S(248649)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6pm",\$4.00/entry from 6pm to 3am the following day,"\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 3am to 1pm, \$4.00/entry from 1pm to 3am the following day",\$4.00/entry from 3am to 3am the following day
PIL Building,"140 Cecil Street, S(069540)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
VivoCity,"1 HarbourFront Walk, S(098585)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 6pm","\$3.00/entry from 6pm to 4am the following day, \$2.50/hr from 4am to 7am the following day","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm, \$3.50/entry from 6pm to 4am the following day, \$2.50/hr from 4am to 7am","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm, \$3.50/entry from 6pm to 4am the following day, \$2.50/hr from 4am to 7am"
MCYS Building,"512 Thomson Road, S(298136)",\$0.80/30min from 7.30am to 6pm,\$1.60/entry from 6.01pm to 7.30am the following day,"\$1.60/entry from 7.30am to 12midnight, \$2.00/entry from 12midnight to 7.30am the following day","\$1.60/entry from 7.30am to 12midnight, \$2.00/entry from 12midnight to 7.30am the following day"
IKEA Tampines,"60 Tampines North Drive 2, S(528764)",Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm,Free Parking from 7am to 11pm
Ministry of Manpower (MOM),"18 Havelock Road, S(059764)",Not for public,Not for public,Not for public,Not for public
Kovan Centre,"9 Yio Chu Kang Road, S(545523)",*Building Demolished*,*Building Demolished*,*Building Demolished*,*Building Demolished*
Quality Hotel Singapore ,"201 Balestier Road, S(329926)","\$2.20 for 1st hr, \$1.10 for next subsequent 30min from 7am to 5pm",\$2.80/entry from 5pm to 7am the following day,Charges same as weekdays,\$2.80/entry from 7am to 7am the following day
HomeTeamNS Bukit Batok,"2 Bukit Batok West Ave 7, S(659003)","(For Member): \$0.90/hr, (For Public): \$1.20/hr from 8am to 5pm","(For Member): \$1.60/entry, (For Public): \$3.20/entry from 5pm to 1am the following day",Charges same as weekdays,"(For Member): \$1.60/entry, (For Public): \$3.20/entry from 8am to 1am the following day"
St. James Power Station,"3 Sentosa Gateway, S(098544)",\$2.00/hr from 7am to 5pm from Mon to Thurs,"\$4.00/entry for 1st 5hr, \$2.00 for subsequent hr from 5pm to 7am the following day from Mon to Thurs 5.01pm to 10.30pm, \$2.00/entry for subsequent hr","\$2.00/hr from 7am to 5pm, \$7.00/entry for 1st 5hr, \$2.00 for for subsequent hr from 5pm to 7am the following day from Fri to Sat","\$2.00/hr from 7am to 5pm, \$4.00/entry for 1st 5hr, \$2.00 for subsequent hr from 5pm to 7am the following day"
NTU SBS Car Park (School of Biological Sciences),"50 Nanyang Avenue, S(639798)","\$0.02/min from 8am to 6pm, maximum charge of \$4.80/day","\$1.20/entry from 6pm to 10pm, Free parking after 10pm",Free Parking,Free Parking
Changi Airport Terminal 2,"60 Airport Boulevard, S(819643)",\$0.04/min from 12midnight to 12midnight the following day,\$0.04/min from 12midnight to 12midnight the following day,Charges same as weekdays,Charges same as weekdays
Haw Par Villa,"262 Pasir Panjang Road, S(118628)",\$5.00/entry from 9am to 7pm,Car Park closed after 7pm,Charges same as weekdays,Charges same as weekdays
Singapore Godown,"25 Tagore Lane, S(787602)","\$1.20 for 1st hr, \$0.60 for next subsequent 30min from 7am to 11pm",\$2.40/entry from 11pm to 7am the following day,Charges same as weekdays,\$2.40/entry from 7am to 7am the following day
Singapore Discovery Centre (SDC),"510 Upper Jurong Road, S(638365)",Free Parking,Free Parking,Free Parking,Free Parking
Square 2,"10 Sinaran Drive, S(307506)","\$2.00 for 1st hr, \$1.00 for next subsequent 30min from 7am to 6pm",\$2.50/entry from 6pm to 7am the following day,Charges same as Weekdays,"\$2.20 for 1st 4hr, \$1.10 for next subsequent 30min from 7am to 6pm, \$2.50/entry from 6pm to 7am the following day"
Red Dot Design Museum,"28 Maxwell Road, S(069120)","\$2.50/hr from 7am to 4.59pm, \$0.65 for next subsequent 15min",\$3.60/entry from 6pm to 6.59am the following day,Charges same as weekdays,\$3.60/entry from 7am to 6.59am the following day
IBM Place 1,"9 Changi Business Park Central 1, S(486048)",*,*,*,*
IOI Plaza Singapore,"210 Middle Road, S(188994)",\$0.04/min from 8am to 5pm,\$0.02/min from 5pm to 8am the following day,Charges same as weekdays,\$0.02/min from 8am to 8am the following day
AMK Hub,"53 Ang Mo Kio Avenue 3, S(569933)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 7am the following day","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 7am the following day","\$1.50 for 1st hr, \$0.75 for next subsequent 30min from 7am to 7am the following day","\$1.50 for 1st hr, \$0.75 for next subsequent 30min from 7am to 7am the following day"
The Signature (Changi Business Park),"51 Changi Business Park Central 2, S(486066)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 10pm",\$2.00/entry from 10.01pm to 6.59pm,Charges same as weekdays,\$2.00/entry from 7am to 6.59am the following day
The Strategy (International Business Park),"2 International Business Park, S(609930)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 10pm",\$2.00/entry from 10pm to 7am,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day
The Synergy (International Business Park),"1 International Business Park, S(609917)","\$2.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 10pm",\$2.00/entry from 10.01pm to 7am,Charges same as weekdays,\$2.00/entry from 7am to 7am the following day
Kembangan Plaza,"18 Jalan Masjid, S(418944)",\$1.70/hr from 8am to 5pm,"\$2.70/entry from 5.01pm to 10pm, \$3.20/entry from 10.01pm to 7.59am the following day",Charges same as weekdays,"\$2.70/entry from 8am to 10pm, \$3.20/entry from 10.01pm to 7.59am the following day"
